Row Labels,Count of otu_label
Selenomonas,1
Herminiimonas,1
Solirubrobacteraceae,1
Nubsella,1
Gp6,1
Oceanospirillaceae,1
Moraxella,1
Howardella,1
Capnocytophaga,1
Oribacterium,1
Cellulomonadaceae,1
Ornithinimicrobium,1
TM7_genera_incertae_sedis,1
Ottowia,1
Facklamia,1
Dietziaceae,1
Verrucomicrobium,1
Alcanivoracaceae,1
Nitrosomonadaceae,1
Paenibacillus,1
Marmoricola,1
Pantoea,1
Sciscionella,1
Parabacteroides,1
Shewanellaceae,1
Hyphomicrobium,1
Chromatiales,1
Paracoccus,1
Alloscardovia,1
Paraprevotella,1
Desulfovibrionaceae,1
Parasegetibacter,1
Actinomycetospora,1
Iamia,1
Millisia,1
Iamiaceae,1
SR1_genera_incertae_sedis,1
Barnesiella,1
Steroidobacter,1
Pedomicrobium,1
Streptomycetaceae,1
Idiomarina,1
Aeromicrobium,1
Idiomarinaceae,1
Terrabacter,1
Ignavigranum,1
Thermomonosporaceae,1
Ilumatobacter,1
Natronorubrum,1
Flavisolibacter,1
Neisseria,1
Dorea,1
Alcaligenes,1
Phaselicystidaceae,1
Verrucomicrobiae,1
Phaselicystis,1
Wautersia,1
Aquicella,1
Chlorophyta,1
Janibacter,1
Marinomonas,1
Phycicoccus,1
Rudaea,1
Janthinobacterium,1
Megasphaera,1
Arcanobacterium,1
Mesorhizobium,1
Duganella,1
Geobacillus,1
Emticicia,1
Shewanella,1
Kingella,1
Shinella,1
Kocuria,1
Gordonia,1
Polyangiaceae,1
Solirubrobacter,1
Pontibacter,1
Gp10,1
Bifidobacterium,1
Erythrobacter,1
Alcanivorax,1
Methylophilus,1
Bogoriellaceae,1
Microbulbifer,1
Bosea,1
Micrococcineae_incertae_sedis,1
Arsenicicoccus,1
Micrococcus,1
Coxiellaceae,1
Dechloromonas,1
Conchiformibius,1
Acidobacteria_Gp6,1
Pseudochrobactrum,1
SR1,1
Acetobacter,1
Adhaeribacter,1
Arthrobacter,1
Granulicatella,1
Pseudomonas,1
Hallella,1
Anaeroglobus,1
Aerococcus,1
Legionella,1
Myroides,1
Legionellaceae,1
Sutterella,1
Alkanindiges,1
Zoogloea,1
Quadrisphaera,1
Cellvibrio,1
Leptospiraceae,1
Thauera,1
Rheinheimera,1
Thermoactinomycetaceae,1
Gemmata,1
TM7,1
Rhodanobacter,1
Tolumonas,1
Gemmatimonadaceae,1
Truepera,1
Gemmatimonadales,1
Exiguobacterium,1
Chromatiaceae,1
Turneriella,1
Limnobacter,1
Variovorax,1
Listeriaceae,1
Neochlamydia,1
Rhodopseudomonas,1
Verrucomicrobiaceae,1
Gemmatimonas,1
Verrucomicrobiales,1
Brochothrix,1
Virgisporangium,1
Lysobacter,1
Wautersiella,1
Macrococcus,1
Williamsia,1
Ruania,1
Aeromonas,1
Mannheimia,1
Marinobacter,1
Chondromyces,1
Nakamurellaceae,1
Grand Total,15940
